,Or2Cr2014St01,Or2Cr2014St03,Or2Cr2014St05,Or2Cr2014St07,Or2Cr2014St09,Or2Cr2014St11,Or2Cr2023St03,Or2Cr2023St05,Or2Cr2023St07,Or2Cr2023St09,Or2Cr2023St11,Or2Cr2039St01,Or2Cr2039St03,Or2Cr2039St05,Or2Cr2039St07,Or2Cr2039St09,Or2Cr2039St11,Or2Cr2046St01,Or2Cr2046St03,Or2Cr2046St05,Or2Cr2046St07,Or2Cr2046St09,Or2Cr2046St11,Or2Cr2053St01,Or2Cr2053St03,Or2Cr2053St05,Or2Cr2053St07,Or2Cr2053St09,Or2Cr2053St11,Or2Cr2099St01,Or2Cr2099St03,Or2Cr2099St05,Or2Cr2099St07,Or2Cr2099St09,Or2Cr2099St11,Or2Cr2109St01,Or2Cr2109St03,Or2Cr2109St05,Or2Cr2109St07,Or2Cr2109St09,Or2Cr2109St11,Or2Cr2164St01,Or2Cr2164St03,Or2Cr2164St05,Or2Cr2164St07,Or2Cr2164St09,Or2Cr2164St11,Or2Cr2183St01,Or2Cr2183St03,Or2Cr2183St05,Or2Cr2183St07,Or2Cr2183St09,Or2Cr2183St11,Or2Cr2192St01,Or2Cr2192St03,Or2Cr2192St05,Or2Cr2192St07,Or2Cr2192St09,Or2Cr2192St11,Or2Cr2241St01,Or2Cr2241St03,Or2Cr2241St05,Or2Cr2241St07,Or2Cr2241St09,Or2Cr2241St11,Or2Cr2243St01,Or2Cr2243St03,Or2Cr2243St05,Or2Cr2243St07,Or2Cr2243St09,Or2Cr2243St11,Or2Cr2245St01,Or2Cr2245St03,Or2Cr2245St05,Or2Cr2245St07,Or2Cr2245St09,Or2Cr2245St11,Or2Cr2248St01,Or2Cr2248St03,Or2Cr2248St05,Or2Cr2248St07,Or2Cr2248St09,Or2Cr2248St11
seq11,0,0,166,41,0,0,0,0,0,0,0,2203,1084,0,35,0,0,13388,661,23,0,0,0,728,1281,94,0,0,0,51,558,137,57,37,0,51,277,0,0,0,0,176,0,0,1498,100,56,820,3092,4219,22504,10553,3416,1163,123,1216,2264,632,2094,0,0,0,3045,76,322,0,278,271,228,224,958,314,238,218,61,195,1247,683,592,799,164,364,1185
seq12,0,479,845,371,434,874,0,965,514,77,131,210,113,553,333,129,100,60,1113,440,637,163,460,0,0,247,196,239,303,0,896,2263,3810,4079,594,139,333,940,186,264,448,374,136,6171,6661,0,290,62,162,1954,8022,1951,1511,881,696,393,491,1635,817,643,642,1344,4242,1208,854,251,3139,361,1227,1507,191,3593,1565,1021,277,1064,365,3139,472,310,220,330,2054
seq13,0,3754,8416,11805,1467,4215,174,2730,1088,606,250,0,154,3788,1519,1097,293,287,167,1442,4827,1167,904,199,1687,1726,594,2922,1703,94,0,648,959,2144,1517,0,125,1191,235,0,232,413,250,1770,888,237,0,0,0,0,0,0,0,0,0,0,0,181,0,1515,565,1633,1880,783,1309,248,792,525,1036,1094,136,0,349,899,344,1420,586,0,0,0,247,0,171
seq14,0,691,1699,745,337,1034,0,3688,638,81,452,0,0,417,9595,3058,796,88,255,610,22,104,348,516,483,908,238,304,1467,0,0,346,1572,1957,1778,0,39,259,0,578,156,0,232,1231,735,0,0,0,0,1362,0,0,61,4451,20059,1875,143,636,588,405,540,976,886,226,1118,0,100,1346,258,1311,356,66,631,3256,104,428,119,0,0,83,157,111,404
seq15,2095,3885,387,901,415,224,71,2840,94,24,49,0,59,3713,1219,286,141,7291,2870,680,577,2156,504,135,20,286,161,609,788,158,187,69,290,449,151,71,191,1037,307,1148,252,195,156,3017,1200,35,33,81,112,1323,3610,427,1049,7096,1231,3991,6157,2474,2291,0,0,104,249,136,42,0,32,231,233,768,53,0,168,1154,111,589,91,0,38,374,662,24,475
seq16,0,0,22,0,310,58,0,24,12,0,33,5,574,403,783,99,111,205,1513,2363,7058,2170,567,83,559,2330,1395,795,965,0,16,91,66,20,0,2956,2774,2620,6075,2285,6485,278,414,281,184,132,43,420,1134,2035,1310,1285,1391,385,2097,1691,257,10329,1934,0,0,18,20,0,10,0,0,0,0,0,0,0,0,82,0,0,0,13,0,0,0,0,0
seq17,0,0,0,0,0,645,0,986,214,465,951,0,8466,1035,4481,2017,7153,127,592,3017,282,299,2625,512,172,2118,294,1444,2903,0,0,0,0,523,406,0,0,0,0,0,897,249,233,125,130,0,177,163,373,1576,0,3196,1045,0,0,0,0,210,184,0,552,2547,888,1012,2895,0,0,1729,731,726,195,0,821,2303,126,232,94,0,0,281,927,285,1453
seq18,0,0,0,0,520,101,0,0,0,0,79,0,0,134,215,0,0,309,384,512,525,0,273,50,0,92,194,544,71,0,0,0,21,31,0,80,4880,0,42,0,31,0,476,35,464,0,53,16172,24264,274,310,117,1476,1798,2234,9376,56,42,0,0,0,171,0,206,251,0,0,0,0,0,31,0,0,0,0,27,0,326,0,0,51,0,588
seq19,0,28,218,46,53,0,0,33,15,0,299,61,49,992,324,78,10,59,149,360,1199,347,179,98,189,119,32,253,151,0,119,132,101,91,221,98,585,24622,4247,320,319,0,494,401,406,207,116,480,11729,436,1916,7601,216,50,63,1234,146,956,45,76,50,0,84,40,46,0,0,0,0,53,0,28,0,38,0,0,0,0,0,0,23,0,23
seq20,0,72,128,0,103,0,0,0,41,0,0,0,0,0,47,0,39,0,0,0,0,0,0,74,0,0,59,0,0,119,0,20,114,814,0,0,32,0,0,0,0,187,0,182,241,0,0,30,0,0,26,38,0,0,0,0,0,115,85,489,220,1186,3226,532,1934,1118,3540,0,2160,28800,957,371,233,94,536,6218,161,3130,67,0,3640,114,395
seq21,97,129,66,99,396,0,220,41,8,78,82,312,0,0,5,0,0,280,8,0,0,0,0,0,0,0,0,0,0,842,0,0,0,37,0,1366,41,42,59,17,0,89,0,56,33,0,13,0,7,0,0,0,12,18303,1285,390,9,28,24,781,457,0,53,49,226,13334,11797,0,149,460,56,493,1646,451,38,51,46,546,2356,0,51,0,30
seq22,0,11,363,0,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,25,0,0,0,0,0,0,0,0,9,0,31,0,0,0,0,0,0,0,0,0,20,0,21,0,0,72,0,0,0,10,0,0,25,0,0,0,0,0,0,9,0,0,68,55057,0,0,0,0,0,0
seq23,1835,1664,246,23,166,327,71,308,40,170,222,2882,1683,265,180,260,293,565,63,113,655,1448,2157,100,0,52,157,526,94,114,86,1460,0,68,503,229,85,388,581,199,230,909,385,229,95,159,114,13656,1337,1585,1442,2194,9313,26,291,56,73,712,246,0,0,67,0,32,96,0,0,0,0,0,0,77,0,0,0,0,0,1234,0,0,47,42,67
seq24,0,391,412,48,190,84,0,700,0,0,307,5287,241,6177,1876,617,691,43,203,76,318,607,841,0,308,395,22,1333,448,0,1288,6685,894,634,818,11,106,2554,871,368,1186,57,2725,1565,1183,204,211,55,291,39,447,1332,183,0,29,189,1122,3400,157,42,40,114,483,97,138,14,0,27,164,320,63,138,0,58,0,182,64,0,0,188,299,269,227
seq25,0,0,0,0,140,562,0,1350,928,117,284,2431,445,0,0,0,162,1705,5255,8921,292,420,178,8278,5149,1530,1272,435,1187,0,356,0,45,95,0,1602,2157,0,0,0,0,181,0,97,130,0,0,205,0,0,0,161,0,392,808,92,0,0,0,0,97,631,921,176,415,0,0,0,533,144,0,0,0,0,89,179,0,0,0,0,0,0,0
seq26,0,111,0,0,92,302,34,156,0,519,427,1311,3745,340,84,223,440,492,147,74,560,521,609,248,272,127,79,406,152,141,244,914,282,406,1523,777,625,236,167,790,399,856,466,207,395,181,353,5531,3229,1864,4119,2933,6693,152,402,107,200,1036,300,45,0,229,199,322,507,0,90,0,0,0,82,122,0,57,0,0,0,650,0,75,136,0,158
seq27,0,0,134,0,2725,0,0,51,1754,0,872,0,0,49,0,0,0,0,0,0,0,0,0,0,3581,1988,0,737,0,0,0,4717,19244,2684,0,0,0,0,32,182,0,0,1253,112,37,335,0,132,0,0,0,1445,0,69,0,0,0,0,0,0,0,1144,0,0,44,0,0,2999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2795
seq28,14,0,0,0,0,0,0,0,0,0,0,867,0,0,0,16,0,0,33,0,0,0,0,0,0,32,30,0,0,0,0,0,0,0,0,5159,1423,8200,30896,168,269,144,18,122,81,44,0,0,0,73,57,27,49,64,59,76,0,108,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,21,0,20
seq29,0,237,701,748,598,4042,0,401,653,1115,4221,50,148,98,522,239,266,107,0,0,0,0,2864,63,0,0,1737,33,274,0,0,0,214,471,2222,0,768,0,0,0,142,271,0,153,0,176,0,156,0,0,0,0,0,218,293,0,0,0,633,0,0,443,3375,1749,961,277,0,204,4818,1043,260,0,684,191,209,1925,641,819,1174,0,557,0,336
seq30,0,0,57,0,92,161,0,0,21,0,54,152,610,103,165,287,67,0,0,138,0,327,625,0,0,0,448,861,446,0,540,517,393,628,1096,199,695,0,0,324,2236,0,3833,210,99,482,1306,414,259,154,394,372,898,0,258,1185,1793,4983,2275,4657,1676,1661,214,228,276,206,385,0,60,47,0,202,132,372,0,0,0,252,462,169,290,0,321
seq31,0,0,482,0,304,0,0,47,334,584,2955,0,79,17,159,0,133,0,0,0,0,0,78,0,230,185,1289,274,0,34,0,95,665,1660,3907,0,23,0,0,0,0,0,117,810,143,1407,0,0,16,0,0,16,0,912,3200,50,0,0,0,0,112,128,612,184,1256,0,150,640,0,193,862,0,360,1700,207,448,0,0,8792,0,666,0,2484
seq32,50,64,687,287,356,1984,128,945,115,203,659,0,44,180,393,303,166,0,0,422,0,652,841,156,859,397,114,789,353,111,430,842,368,864,132,12,203,719,93,595,705,123,447,733,436,1068,84,300,40,408,56,152,78,82,246,270,122,915,102,961,800,759,514,364,744,283,1331,324,191,481,96,593,855,808,450,138,175,269,2006,484,1539,365,187
seq33,0,0,90,0,466,0,0,0,91,0,1236,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,98,806,79,96,0,0,0,0,0,0,274,0,0,1377,0,1252,219,333,0,1440,0,33,0,0,106,0,606,0,0,0,346,0,12648,0,0,0,0,0,0,0,0,631,0,10,483,0,10418,35,721,0,0
seq34,1031,8073,150,0,332,35,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,25,0,0,51,0,118,0,0,0,0,0,725,2435,35,0,15593,710,0,0,0,0,0,0,0,0,0,0,0,0,638,148,0,0,261,391,340,932,0,0,0,0,1049,57,0,0,0,0,0,0,0,0,0,0
seq35,0,119,0,0,0,0,1186,179,0,0,0,355,257,17,132,0,0,87,59,0,17,0,0,35,127,0,58,12,37,686,367,106,27,43,0,0,61,0,0,0,0,0,13,0,0,0,0,96,0,0,232,148,47,55,303,139,0,0,42,10060,1757,0,0,0,0,939,10771,0,0,96,0,719,40,76,0,0,0,2635,182,35,0,0,0
seq36,0,0,0,0,0,0,0,0,0,0,0,0,118,333,59,0,0,0,29,1746,667,436,72,306,299,254,44,136,159,0,0,0,0,0,0,3117,2275,949,4158,1174,7028,0,33,0,0,0,0,150,45,733,2236,1033,1145,24,47,93,26,872,172,18,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,16,0,0
seq37,91,1557,685,1459,1391,810,31,280,16,764,2014,0,18,11,108,134,250,0,31,103,0,9,1492,0,0,0,73,25,25,81,0,41,216,507,1072,637,150,0,66,120,629,318,156,191,730,74,173,0,14,0,60,59,59,0,0,81,35,63,226,143,228,437,521,655,2491,82,1341,535,826,507,101,47,677,496,108,730,1984,0,48,0,0,46,153
seq38,12,0,25,0,0,26,5,0,0,0,52,0,0,0,0,59,0,0,0,0,0,0,8,13,0,3,0,0,47,71,685,1325,25,476,0,64,0,28,12,0,0,24,86,0,0,0,0,685,158,853,25,13,24,19,49,30,0,38,15,7,587,502,0,0,28,328,382,30,0,0,0,712,697,334,31,0,57,61,629,19413,508,0,23
seq39,0,0,0,0,0,0,0,0,0,0,0,330,306,6452,691,92,120,44,334,157,2553,692,139,181,598,0,0,0,0,0,0,0,0,0,0,0,0,1588,132,0,0,0,0,116,103,0,0,192,8193,194,446,2082,82,0,0,2716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq40,191,42,3099,415,0,362,12,17,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,43,273,1779,128,43,0,182,0,0,0,92,2993,929,149,36,0,56,0,0,0,0,0,0,0,0,0,0,83,0,105,199,55,79,361,842,0,4516,0,0,18,161,1038,2418,166,2113,0,2287,0,369,594,0
seq41,0,0,339,0,0,19,0,0,857,3,13,0,15,0,0,0,22,0,0,0,0,0,0,819,49,0,0,6,0,0,0,0,42,219,25,0,12,33,0,20,0,59,0,1069,228,0,0,38,0,0,0,9,0,381,1411,0,40,0,40,0,22,104,103,0,15,0,0,0,429,14,0,0,0,212,277,16144,345,0,744,0,127,3643,110
seq42,0,1913,753,285,330,812,252,1911,87,87,321,0,328,0,92,138,249,0,45,100,0,64,482,0,0,0,0,30,91,84,1578,1552,269,365,753,534,299,355,221,295,685,197,1302,1069,998,226,1181,0,161,96,184,74,271,0,0,155,49,290,242,549,497,802,711,358,414,0,163,233,165,215,0,85,342,752,0,105,130,0,0,0,88,0,132
seq43,0,17,50,27,0,5,16,46,0,8,8,17,0,0,0,0,7,0,0,0,0,0,22,0,0,0,100,0,5,0,0,34,75,143,0,306,29,0,10,0,0,154,41,695,833,99,45,142,8,0,17,30,0,0,0,10,0,13,28,1257,875,227,756,768,2489,3116,30,145,537,2560,66,0,79,500,2949,498,103,20,992,0,763,56,2719
seq44,0,0,0,0,572,1993,0,103,13,125,387,675,1825,351,42,130,241,0,0,289,0,0,422,1096,413,113,0,391,24,0,0,1234,947,994,146,0,25,0,0,214,227,0,114,578,352,78,404,2599,177,164,0,44,37,1509,381,746,0,0,26,288,360,26,561,56,391,0,525,82,43,274,0,323,0,344,15,38,100,0,0,24,37,21,735
seq45,38,2755,586,524,2127,4186,82,1624,21,269,1002,13,515,0,45,92,142,0,13,31,0,23,238,0,16,0,0,22,0,22,24,176,47,120,289,221,257,19,55,85,534,101,289,206,172,72,1697,47,14,0,0,10,0,36,38,0,0,84,55,1925,369,59,167,164,279,260,929,21,0,19,0,757,69,89,0,0,29,42,15,0,0,0,33
seq46,0,553,355,0,2336,0,42,14,41,0,19,0,99,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,170,0,128,157,584,0,0,0,0,25,2631,1646,0,258,1267,613,800,85,0,420,308,4230,707,0,0,0,14,26,0,63,20,21,530,0,165,44,0,66,1772,50,271,133,0,0,0,0,0,0,2263,258,0,0,0,0
seq47,0,315,240,0,411,0,0,1288,0,75,694,104,223,0,0,228,306,163,0,0,0,0,194,0,0,0,0,142,0,233,0,0,0,0,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,658,182,886,1124,464,407,1299,7966,0,0,0,0,1083,166,0,0,101,0,3107,0,0,0,0,0
seq48,187,555,0,0,175,194,0,290,0,0,89,1962,300,449,691,257,120,96,124,126,129,237,292,145,57,135,151,436,277,0,0,74,118,192,1172,0,0,301,168,0,104,96,0,174,126,360,102,395,54,244,257,450,1983,0,144,64,54,304,100,396,55,211,622,254,517,183,160,72,95,63,133,316,851,142,0,82,93,3066,0,300,316,185,237
seq49,0,0,50,83,121,0,26,137,0,40,0,107,0,0,0,0,0,199,20,0,0,0,51,0,0,0,0,0,0,0,0,0,26,41,101,0,0,0,22,0,0,0,0,40,48,0,0,0,0,0,0,0,0,0,0,28,0,0,24,899,596,218,138,341,1657,4520,4299,854,99,446,51,414,387,273,147,145,311,4749,253,0,0,0,198
seq50,0,0,0,0,0,0,0,0,0,0,0,0,703,2542,1730,0,0,1315,1223,617,35,49,466,301,2240,3800,298,3804,2320,0,0,0,0,0,0,56,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq51,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,416,928,0,0,0,0,0,0,8,48,33,3349,1810,39,0,0,0,0,0,0,221,0,0,24,0,0,0,0,390,4537,777,99,156,0,0,526,1438,557,1683,0,0,0,20,728,0,0,0,22,0,0,3061
seq52,0,58,12,25,110,178,0,90,72,52,62,314,0,0,0,0,0,27,0,59,0,44,240,51,99,22,204,50,103,49,0,132,291,157,56,271,0,1175,709,675,681,0,46,59,179,0,318,3854,1862,1220,316,162,1057,0,43,45,0,311,56,174,58,581,114,34,47,117,1049,346,97,432,33,1088,154,57,18,33,0,175,59,28,87,0,91
seq53,0,0,102,0,0,96,0,164,74,57,79,0,0,159,177,311,124,65,94,0,0,32,351,561,223,140,220,1419,594,0,0,68,155,253,150,0,0,64,62,0,28,0,92,83,239,242,100,121,0,168,37,127,264,0,91,287,157,220,147,287,162,1194,280,454,1161,0,179,404,231,715,446,351,131,620,326,272,125,0,0,570,1774,453,2127
seq54,89,125,268,0,319,83,419,89,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,152,0,0,0,0,0,0,0,59,276,41,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2276,147,2377,309,399,435,211,222,135,808,405,0,0,88,77,276,277,24,8971,430,0,63,0,0
seq55,0,0,0,0,145,157,0,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,188,176,184,0,0,0,423,445,0,0,0,0,640,3199,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,610,1636,0,0,0,0,5465,0,0,0,0,3078,741,141,0,0,0,0,508,0,0,0,0
seq56,0,0,97,0,133,122,0,0,24,0,92,472,196,4039,333,190,125,30,72,51,519,191,114,94,101,28,86,65,48,0,112,334,95,83,146,120,51,448,42,109,163,0,250,607,319,109,82,146,5955,236,477,1399,62,35,68,462,88,182,83,0,0,58,73,0,38,0,0,0,48,0,0,0,0,76,0,45,0,0,0,0,57,0,0
seq57,0,1768,2122,737,316,2670,305,503,112,112,459,18,243,0,0,62,45,0,366,32,0,21,168,0,0,0,25,8,11,114,151,1029,262,290,354,1286,542,267,48,61,378,223,239,783,767,83,816,24,41,19,131,20,18,0,0,299,26,318,108,38,0,96,133,103,197,13,0,114,106,97,0,0,0,44,0,37,37,0,0,0,0,0,0
seq58,0,61,873,17,0,335,147,0,121,128,895,18,0,0,0,27,2379,0,0,0,0,57,0,22,0,0,589,338,29,0,0,0,329,988,382,51,0,17,67,0,145,265,0,356,202,242,41,25,0,19,32,0,129,0,0,0,68,70,15,23,115,0,141,0,2023,4790,740,0,76,0,196,153,557,405,0,293,76,76,0,0,170,68,0
seq59,0,0,0,89,0,698,0,42,48,79,92,0,0,0,0,68,0,0,0,0,0,0,25,0,0,0,0,44,33,0,0,0,0,281,348,0,0,48,0,0,0,266,0,0,0,94,29,0,0,0,0,0,0,0,0,0,0,0,0,289,0,572,2689,882,4600,0,4024,357,198,975,519,161,0,0,0,531,323,806,0,0,0,0,0
seq60,0,508,143,96,3148,5023,0,43,0,921,568,14,0,0,0,10,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2121,0,0,0,0,0,0,138,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,33,258,0,0,0,162,1552,3125,0,0,0,0,0,0,0,0,0,0,0,68,40,0,0,0,0,0
seq61,0,0,0,0,0,190,0,38,44,0,34,0,319,1844,6663,250,199,0,44,105,188,29,19,209,87,75,157,424,144,0,0,0,139,135,0,0,0,0,31,0,33,0,0,0,145,42,0,0,0,143,124,373,95,0,18,0,0,473,137,0,0,924,253,99,471,0,0,191,158,504,0,0,0,76,0,121,0,33,69,80,210,84,281
seq62,0,147,143,68,943,2016,76,77,134,143,317,33,977,518,593,177,112,0,25,59,11,0,107,0,21,63,100,40,75,20,484,42,284,466,573,0,0,0,30,0,32,159,58,0,166,165,0,108,0,67,23,74,0,26,0,53,0,68,28,370,304,1014,1185,663,588,36,173,66,329,127,175,6,294,170,32,53,15,226,190,53,199,11,151
seq63,28,21,222,500,27,46,0,14,8,0,7,0,0,0,16,11,0,0,0,0,0,0,125,0,0,12,165,0,21,0,0,0,0,31,10,41,571,34,0,0,5,78,0,906,623,108,53,60,0,101,58,228,57,88,0,67,60,331,1111,0,0,159,516,176,158,1571,74,377,144,474,9,0,151,87,1401,193,151,28,1856,0,2021,89,133
seq64,0,0,97,0,0,214,0,104,99,0,0,0,134,0,155,0,0,0,0,0,0,0,50,0,1553,72,0,445,52,0,167,1712,1780,995,0,0,0,0,0,0,0,0,0,0,60,0,0,79,296,171,0,0,0,0,99,0,0,0,0,364,279,571,263,69,127,137,626,61,134,98,0,609,1569,390,16,57,0,1140,227,138,0,0,297
seq65,0,49,46,0,52,13,0,40,0,0,0,695,0,0,28,12,0,40,0,0,0,0,0,1035,168,0,0,0,0,0,0,40,25,90,79,15,87,4,41,0,0,70,0,0,16,14,45,0,0,0,89,0,0,0,0,0,0,0,0,5390,692,281,594,252,1086,64,1908,170,0,54,90,717,62,156,0,8,73,63,0,0,171,0,59
seq66,0,370,547,0,0,346,32,0,83,0,27,0,0,39,0,13,0,0,695,0,66,0,0,0,3,0,0,0,6,0,0,0,155,0,0,195,6094,1939,2323,0,0,0,86,143,244,0,39,0,0,0,0,0,0,0,0,0,0,0,0,231,193,229,62,34,132,4,0,28,18,39,0,12,0,26,0,35,18,0,0,0,29,0,107
seq67,1602,124,644,78,84,323,0,102,114,68,258,120,1845,261,756,229,110,136,229,113,185,136,93,89,164,257,361,0,48,0,136,0,405,187,164,0,0,0,0,0,0,0,0,0,128,0,0,248,205,316,0,79,392,0,0,0,58,0,0,0,99,247,298,95,0,0,0,382,185,1654,163,0,67,68,0,89,0,0,0,69,301,0,0
